Participant,Product,Record Link,Evaluated Link,Task Objective,Task Start Time,Initial Emotional State,Task End Time,Final Emotional State,Task Success,Status Script,I think that I would like to use this system frequently,I found the system unnecessarily complex,I thought the system was easy to use,I think that I would need the support of a technical person to be able to use this system,I found the various functions in this system were well-integrated,I thought there was too much inconsistency in this system,I would imagine that most people would learn to use this system very quickly,I found the system very cumbersome to use,I felt very confident using the system,I needed to learn a lot of things before I could get going with this system,Manual Geral Satisfaction,Positive Sentiment Peak,Negative Sentiment Peak,Usability Informed,Usability Identified,Affect Identified,User Value Identified,User Experience Evaluation,Positive Sentiment Peak Identified,Negative Sentiment Peak Identified,Usability Score Informed (SUS),Usability Score Identified (SUS),All Positive Sentiment Identified,All Negative Sentiment Identified,Job Start,Job End,Evaluated Audio Link,Evaluated Subtitle Link,Evaluated AI SUS Sentences Link,SUS Identified Q1,SUS Identified Q2,SUS Identified Q3,SUS Identified Q4,SUS Identified Q5,SUS Identified Q6,SUS Identified Q7,SUS Identified Q8,SUS Identified Q9,SUS Identified Q10,Final
[Anonymized],[Anonymized],[Anonymized],[Anonymized],Get a usability test script,1/24/2024 5:28:56 PM,Negative,1/24/2024 17:38:28,Positive,Yes,DONE,Strongly agree,Disagree,Agree,Disagree,Agree,Strongly disagree,Agree,Disagree,Agree,Disagree,Very satisfied,"I felt accomplished when I saw that the questionnaire was personalized, not generic",I got impatient when I had to wait almost 1 minute for a response,Good,Neutral,Neutral,Satisfied,Neither good nor poor,"Satisfied(video) - 5m42s
Satisfied(video) - 5m42s
Satisfied(video) - 5m45s
Satisfied(video) - 5m48s
Satisfied(video) - 5m51s
Positive (speech) - 1m0s",Negative (speech) - 1m11s,80,47.5,"Satisfied(video) - 1m30s
Satisfied(video) - 5m40s
Satisfied(video) - 5m42s
Satisfied(video) - 5m45s
Satisfied(video) - 5m48s
Satisfied(video) - 5m51s
Satisfied(video) - 5m54s
Satisfied(video) - 7m4s
Satisfied(video) - 7m6s
Satisfied(video) - 7m10s
Satisfied(video) - 7m12s
Positive (speech) - 0m46s
Positive (speech) - 1m0s
Positive (speech) - 3m28s
Positive (speech) - 4m44s
Positive (speech) - 5m42s
Positive (speech) - 6m57s
Positive (speech) - 7m30s","Negative (speech) - 1m11s
Negative (speech) - 1m23s
Negative (speech) - 1m40s
Negative (speech) - 2m30s
Negative (speech) - 3m30s
Negative (speech) - 4m57s
Negative (speech) - 5m1s
Negative (speech) - 5m10s
Negative (speech) - 5m12s
Negative (speech) - 5m23s
Negative (speech) - 6m28s
Negative (speech) - 6m42s",14:45:34,15:23:21,[Anonymized],[Anonymized],[Anonymized],5,5,4,1,2,5,1,2,1,1,1
[Anonymized],[Anonymized],[Anonymized],[Anonymized],Share the UXAPP website,1/24/2024 5:40:35 PM,Positive,1/24/2024 17:44:53,Neutral,Yes,DONE,Agree,Disagree,Agree,Strongly disagree,Strongly agree,Disagree,Agree,Disagree,Neither agree nor disagree,Strongly disagree,Satisfied,I was very pleased to see that Facebook sharing was fully functional,I was confused when I went to share it via email and disappointed when I saw that there were no details about the software in the automated message.,Good,Poor,Neutral,Satisfied,Neither good nor poor,"Satisfied(video) - 2m6s
Positive (speech) - 3m14s",Negative (speech) - 1m30s,80,25,"Satisfied(video) - 2m6s
Positive (speech) - 0m31s
Positive (speech) - 1m25s
Positive (speech) - 2m31s
Positive (speech) - 3m14s","Negative (speech) - 1m12s
Negative (speech) - 1m30s
Negative (speech) - 1m41s
Negative (speech) - 1m46s
Negative (speech) - 2m8s
Negative (speech) - 2m14s
Negative (speech) - 2m54s",12:21:50,12:40:04,[Anonymized],[Anonymized],[Anonymized],1,4,2,4,2,5,1,4,5,4,1
[Anonymized],[Anonymized],[Anonymized],[Anonymized],Describe what UXAPP is and what it is for,1/24/2024 7:19:19 PM,Neutral,1/24/2024 19:38:21,Neutral,No,DONE,Neither agree nor disagree,Agree,Agree,Disagree,Neither agree nor disagree,Disagree,Agree,Disagree,Agree,Agree,Neither satisfied nor dissatisfied,First contact with the page. Presentable layout.,"Contact the information contained in the ""frequently asked questions"". Diagrams a little complex/confusing.",Neutral,Poor,Negative,Neither satisfied nor dissatisfied,Poor,Positive (speech) - 0m30s,"Negative (speech) - 4m30s
Negative (speech) - 10m32s",60,10,"Positive (speech) - 0m0s
Positive (speech) - 0m30s
Positive (speech) - 4m56s
Positive (speech) - 5m24s
Positive (speech) - 10m55s","Negative (speech) - 1m0s
Negative (speech) - 1m35s
Negative (speech) - 2m30s
Negative (speech) - 2m43s
Negative (speech) - 3m1s
Negative (speech) - 3m8s
Negative (speech) - 3m13s
Negative (speech) - 3m22s
Negative (speech) - 4m6s
Negative (speech) - 4m15s
Negative (speech) - 4m27s
Negative (speech) - 4m30s
Negative (speech) - 5m2s
Negative (speech) - 5m33s
Negative (speech) - 6m52s
Negative (speech) - 7m10s
Negative (speech) - 7m32s
Negative (speech) - 7m42s
Negative (speech) - 7m58s
Negative (speech) - 8m11s
Negative (speech) - 8m12s
Negative (speech) - 8m43s
Negative (speech) - 9m4s
Negative (speech) - 9m51s
Negative (speech) - 10m12s
Negative (speech) - 10m25s
Negative (speech) - 10m32s
Negative (speech) - 10m41s
Negative (speech) - 11m55s
Negative (speech) - 12m2s
Negative (speech) - 12m11s",17:26:50,17:50:59,[Anonymized],[Anonymized],[Anonymized],1,5,1,5,2,5,2,4,2,5,1
[Anonymized],[Anonymized],[Anonymized],[Anonymized],Request an invitation to install UXAPP,1/24/2024 7:43:19 PM,Neutral,1/24/2024 19:49:57,Neutral,No,DONE,Disagree,Disagree,Agree,Strongly disagree,Disagree,Strongly agree,Agree,Disagree,Disagree,Disagree,Dissatisfied,Layout and simplicity of the form.,Error on the website to accept the indicated email.,Neutral,Poor,Negative,Neither satisfied nor dissatisfied,Poor,Positive (speech) - 2m22s,Negative (speech) - 3m40s,55,17.5,"Positive (speech) - 2m22s
Positive (speech) - 3m15s","Negative (speech) - 0m0s
Negative (speech) - 0m12s
Negative (speech) - 1m14s
Negative (speech) - 1m37s
Negative (speech) - 1m46s
Negative (speech) - 2m0s
Negative (speech) - 2m30s
Negative (speech) - 2m38s
Negative (speech) - 2m56s
Negative (speech) - 3m8s
Negative (speech) - 3m31s
Negative (speech) - 3m40s
Negative (speech) - 3m49s
Negative (speech) - 3m56s",13:06:30,13:32:21,[Anonymized],[Anonymized],[Anonymized],2,4,2,5,2,5,2,4,2,5,1
[Anonymized],[Anonymized],[Anonymized],[Anonymized],Get a usability test script,1/24/2024 7:52:25 PM,Neutral,1/24/2024 20:00:16,Positive,Yes,DONE,Agree,Disagree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Disagree,Agree,Disagree,Very satisfied,Moment when the robot (AI) gave the first response.,Robot response time.,Good,Poor,Positive,Neither satisfied nor dissatisfied,Neither good nor poor,Positive (speech) - 5m12s,Negative (speech) - 1m6s,80,17.5,"Positive (speech) - 3m0s
Positive (speech) - 4m12s
Positive (speech) - 4m31s
Positive (speech) - 4m38s
Positive (speech) - 4m46s
Positive (speech) - 5m0s
Positive (speech) - 5m7s
Positive (speech) - 5m12s
Positive (speech) - 5m20s","Negative (speech) - 0m1s
Negative (speech) - 0m43s
Negative (speech) - 1m6s
Negative (speech) - 2m42s",13:06:19,13:41:34,[Anonymized],[Anonymized],[Anonymized],1,4,2,5,2,5,2,4,3,5,1
[Anonymized],[Anonymized],[Anonymized],[Anonymized],Share the UXAPP website,1/24/2024 8:02:34 PM,Neutral,1/24/2024 20:08:16,Neutral,Yes,DONE,Neither agree nor disagree,Disagree,Agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Strongly disagree,Neither satisfied nor dissatisfied,Attempt to share on Twitter,Attempt to share via email.,Good,Neutral,Neutral,Neither satisfied nor dissatisfied,Neither good nor poor,Positive (speech) - 3m0s,Negative (speech) - 1m30s,70,55,"Positive (speech) - 2m0s
Positive (speech) - 2m32s
Positive (speech) - 3m0s
Positive (speech) - 3m37s","Negative (speech) - 0m21s
Negative (speech) - 0m30s
Negative (speech) - 0m45s
Negative (speech) - 1m23s
Negative (speech) - 1m30s
Negative (speech) - 1m48s
Negative (speech) - 3m19s",13:05:53,13:32:05,[Anonymized],[Anonymized],[Anonymized],3,1,1,3,2,1,5,5,4,3,1
[Anonymized],[Anonymized],[Anonymized],[Anonymized],Describe what UXAPP is and what it is for.,1/25/2024 2:23:43 PM,Neutral,1/25/2024 14:45:29,Negative,No,DONE,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither satisfied nor dissatisfied,MOMENT OF INITIAL ACCESS TO THE SITE (I liked the design),"During attempted use, too much information",Neutral,Neutral,Negative,Neither satisfied nor dissatisfied,Neither good nor poor,Positive (speech) - 1m0s,"Negative (speech) - 2m57s
Negative (speech) - 3m1s",40,35,"Positive (speech) - 0m34s
Positive (speech) - 0m45s
Positive (speech) - 1m0s
Positive (speech) - 2m4s
Positive (speech) - 2m15s","Negative (speech) - 0m12s
Negative (speech) - 1m36s
Negative (speech) - 2m30s
Negative (speech) - 2m57s
Negative (speech) - 3m1s
Negative (speech) - 5m3s
Negative (speech) - 5m42s
Negative (speech) - 5m51s
Negative (speech) - 6m13s
Negative (speech) - 8m57s
Negative (speech) - 9m47s",13:07:17,13:54:55,[Anonymized],[Anonymized],[Anonymized],1,3,4,4,5,5,1,3,2,4,1
[Anonymized],[Anonymized],[Anonymized],[Anonymized],Request an invitation to install UXAPP,1/25/2024 2:52:56 PM,Neutral,1/25/2024 14:59:30,Negative,No,DONE,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Dissatisfied,"Easy, intuitive visual even if you don't know English",should tell you what is filled out wrong,Neutral,Poor,Negative,Neither satisfied nor dissatisfied,Poor,Positive (speech) - 1m2s,Negative (speech) - 2m30s,45,27.5,"Positive (speech) - 0m53s
Positive (speech) - 1m2s","Negative (speech) - 1m14s
Negative (speech) - 1m30s
Negative (speech) - 2m3s
Negative (speech) - 2m10s
Negative (speech) - 2m30s
Negative (speech) - 2m43s
Negative (speech) - 3m30s",13:07:37,13:25:22,[Anonymized],[Anonymized],[Anonymized],2,4,2,4,3,5,3,4,2,4,1
[Anonymized],[Anonymized],[Anonymized],[Anonymized],Get a usability test script,1/25/2024 3:02:01 PM,Neutral,1/25/2024 15:10:19,Negative,No,DONE,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Dissatisfied,It seems easy to understand the information requested,"improve filling in the phone number, make it easier",Neutral,Poor,Negative,Neither satisfied nor dissatisfied,Poor,Positive (speech) - 0m7s,Negative (speech) - 4m32s,47.5,17.5,"Positive (speech) - 0m7s
Positive (speech) - 5m0s","Negative (speech) - 2m2s
Negative (speech) - 4m27s
Negative (speech) - 4m32s
Negative (speech) - 4m45s
Negative (speech) - 4m49s",13:07:27,13:33:36,[Anonymized],[Anonymized],[Anonymized],1,5,2,4,2,5,2,4,2,4,1
[Anonymized],[Anonymized],[Anonymized],[Anonymized],Share the UXAPP website,1/25/2024 3:12:58 PM,Neutral,1/25/2024 15:20:34,Negative,No,DONE,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Dissatisfied,none,could not acess,Neutral,Poor,Negative,Neither satisfied nor dissatisfied,Poor,,Negative (speech) - 1m0s,45,22.5,None,"Negative (speech) - 0m11s
Negative (speech) - 0m18s
Negative (speech) - 1m0s
Negative (speech) - 1m44s",13:07:09,13:35:10,[Anonymized],[Anonymized],[Anonymized],2,5,2,3,2,5,2,4,2,4,1
[Anonymized],[Anonymized],[Anonymized],[Anonymized],Describe what UXAPP is and what it is for,1/25/2024 3:36:36 PM,Positive,1/25/2024 15:46:20,Neutral,Yes,DONE,Disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Agree,Agree,Agree,Satisfied,at the beginning when I opened the website,the email and linkedin link buttons were overlapping one of the website links,Neutral,Poor,Negative,Neither satisfied nor dissatisfied,Poor,Positive (speech) - 0m40s,Negative (speech) - 2m30s,50,27.5,"Positive (speech) - 0m40s
Positive (speech) - 1m24s
Positive (speech) - 3m56s
Positive (speech) - 5m42s
Positive (speech) - 6m3s","Negative (speech) - 0m0s
Negative (speech) - 0m30s
Negative (speech) - 1m0s
Negative (speech) - 1m6s
Negative (speech) - 2m21s
Negative (speech) - 2m30s
Negative (speech) - 2m47s
Negative (speech) - 4m0s
Negative (speech) - 4m17s
Negative (speech) - 4m38s
Negative (speech) - 5m12s
Negative (speech) - 5m24s
Negative (speech) - 5m40s",13:46:32,14:30:30,[Anonymized],[Anonymized],[Anonymized],2,5,2,4,5,5,2,4,2,4,1
[Anonymized],[Anonymized],[Anonymized],[Anonymized],Request an invitation to install UXAPP,1/25/2024 3:52:07 PM,Positive,1/25/2024 15:57:35,Negative,No,DONE,Strongly disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Agree,Strongly disagree,Neither satisfied nor dissatisfied,moment when I found the field,"when there was an error sending the invitation, even with a valid email address",Neutral,Neutral,Neutral,Neither satisfied nor dissatisfied,Neither good nor poor,Positive (speech) - 0m0s,Negative (speech) - 1m11s,62.5,52.5,"Positive (speech) - 0m0s
Positive (speech) - 1m45s
Positive (speech) - 1m52s","Negative (speech) - 0m17s
Negative (speech) - 1m11s
Negative (speech) - 2m0s
Negative (speech) - 2m10s
Negative (speech) - 2m36s",13:46:49,14:08:07,[Anonymized],[Anonymized],[Anonymized],2,1,4,5,2,1,2,2,4,4,1
[Anonymized],[Anonymized],[Anonymized],[Anonymized],Get a usability test script,1/25/2024 4:00:36 PM,Positive,1/25/2024 16:09:34,Negative,No,DONE,Strongly disagree,Agree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Agree,Dissatisfied,the usability of the website,not having found the usability test script,Poor,Neutral,Neutral,Satisfied,Neither good nor poor,"Satisfied(video) - 5m27s
Satisfied(video) - 5m30s
Satisfied(video) - 5m48s
Positive (speech) - 1m0s",Negative (speech) - 5m14s,32.5,40,"Satisfied(video) - 5m27s
Satisfied(video) - 5m30s
Satisfied(video) - 5m46s
Satisfied(video) - 5m48s
Satisfied(video) - 5m51s
Positive (speech) - 1m0s","Negative (speech) - 1m30s
Negative (speech) - 2m5s
Negative (speech) - 2m24s
Negative (speech) - 2m30s
Negative (speech) - 2m52s
Negative (speech) - 4m1s
Negative (speech) - 5m5s
Negative (speech) - 5m14s
Negative (speech) - 5m42s",13:46:42,14:26:08,[Anonymized],[Anonymized],[Anonymized],4,4,2,2,2,4,2,4,2,2,1
